time,cell_id,cell_type,substrate,fba_reaction,flux_lb,flux_value,concentration_mM
2,0,zone_1,glucose,r1032,-9.09074,4.11793e-12,4.999
2,0,zone_1,oxygen,r0855,-19.7812,-3.74346e-12,45.213
2,4,zone_2,glucose,r1032,-9.09074,4.11793e-12,4.999
2,4,zone_2,oxygen,r0855,-19.7218,-3.74346e-12,35.4404
2,4,zone_2,glucose,r1032,-9.09074,4.11793e-12,4.999
2,4,zone_2,oxygen,r0855,-19.7218,-3.74346e-12,35.4404
2,0,zone_1,glucose,r1032,-9.09074,4.11793e-12,4.999
2,0,zone_1,oxygen,r0855,-19.7812,-3.74346e-12,45.213
2,8,zone_3,glucose,r1032,-9.09074,4.11793e-12,4.999
2,8,zone_3,oxygen,r0855,-19.4106,-3.74346e-12,16.4677
2,8,zone_3,glucose,r1032,-9.09074,4.11793e-12,4.999
2,8,zone_3,oxygen,r0855,-19.4106,-3.74346e-12,16.4677
2,1,zone_1,glucose,r1032,-9.09074,4.11793e-12,4.999
2,1,zone_1,oxygen,r0855,-19.7812,-3.74346e-12,45.213
2,1,zone_1,glucose,r1032,-9.09074,4.11793e-12,4.999
2,1,zone_1,oxygen,r0855,-19.7812,-3.74346e-12,45.213
2,5,zone_2,glucose,r1032,-9.09074,4.11793e-12,4.999
2,5,zone_2,oxygen,r0855,-19.7187,-3.74346e-12,35.0458
2,5,zone_2,glucose,r1032,-9.09074,4.11793e-12,4.999
2,5,zone_2,oxygen,r0855,-19.7187,-3.74346e-12,35.0458
2,2,zone_1,glucose,r1032,-9.09074,4.11793e-12,4.999
2,2,zone_1,oxygen,r0855,-19.7793,-3.74346e-12,44.8179
2,2,zone_1,glucose,r1032,-9.09074,4.11793e-12,4.999
2,2,zone_1,oxygen,r0855,-19.7793,-3.74346e-12,44.8179
2,6,zone_3,glucose,r1032,-9.09074,4.11793e-12,4.999
2,6,zone_3,oxygen,r0855,-19.4418,-3.74346e-12,17.416
2,6,zone_3,glucose,r1032,-9.09074,4.11793e-12,4.999
2,6,zone_3,oxygen,r0855,-19.4418,-3.74346e-12,17.416
2,3,zone_2,glucose,r1032,-9.09074,4.11793e-12,4.999
2,3,zone_2,oxygen,r0855,-19.7257,-3.74346e-12,35.9585
2,3,zone_2,glucose,r1032,-9.09074,4.11793e-12,4.999
2,3,zone_2,oxygen,r0855,-19.7257,-3.74346e-12,35.9585
2,7,zone_3,glucose,r1032,-9.09074,4.11793e-12,4.999
2,7,zone_3,oxygen,r0855,-19.4217,-3.74346e-12,16.7935
2,7,zone_3,glucose,r1032,-9.09074,4.11793e-12,4.999
2,7,zone_3,oxygen,r0855,-19.4217,-3.74346e-12,16.7935
4,8,zone_3,glucose,r1032,-9.09058,4.11793e-12,4.998
4,8,zone_3,oxygen,r0855,-19.4778,-3.74346e-12,18.6501
4,0,zone_1,glucose,r1032,-9.09058,4.11793e-12,4.998
4,0,zone_1,oxygen,r0855,-19.7798,-3.74346e-12,44.9109
4,0,zone_1,glucose,r1032,-9.09058,4.11793e-12,4.998
4,0,zone_1,oxygen,r0855,-19.7798,-3.74346e-12,44.9109
4,8,zone_3,glucose,r1032,-9.09058,4.11793e-12,4.998
4,8,zone_3,oxygen,r0855,-19.4778,-3.74346e-12,18.6501
4,4,zone_2,glucose,r1032,-9.09058,4.11793e-12,4.998
4,4,zone_2,oxygen,r0855,-19.726,-3.74346e-12,36.0029
4,4,zone_2,glucose,r1032,-9.09058,4.11793e-12,4.998
4,4,zone_2,oxygen,r0855,-19.726,-3.74346e-12,36.0029
4,1,zone_1,glucose,r1032,-9.09058,4.11793e-12,4.998
4,1,zone_1,oxygen,r0855,-19.7798,-3.74346e-12,44.9109
4,1,zone_1,glucose,r1032,-9.09058,4.11793e-12,4.998
4,1,zone_1,oxygen,r0855,-19.7798,-3.74346e-12,44.9109
4,5,zone_2,glucose,r1032,-9.09058,4.11793e-12,4.998
4,5,zone_2,oxygen,r0855,-19.7232,-3.74346e-12,35.6209
4,5,zone_2,glucose,r1032,-9.09058,4.11793e-12,4.998
4,5,zone_2,oxygen,r0855,-19.7232,-3.74346e-12,35.6209
4,2,zone_1,glucose,r1032,-9.09058,4.11793e-12,4.998
4,2,zone_1,oxygen,r0855,-19.7779,-3.74346e-12,44.5237
4,2,zone_1,glucose,r1032,-9.09058,4.11793e-12,4.998
4,2,zone_1,oxygen,r0855,-19.7779,-3.74346e-12,44.5237
4,6,zone_3,glucose,r1032,-9.09058,4.11793e-12,4.998
4,6,zone_3,oxygen,r0855,-19.4987,-3.74346e-12,19.4477
4,6,zone_3,glucose,r1032,-9.09058,4.11793e-12,4.998
4,6,zone_3,oxygen,r0855,-19.4987,-3.74346e-12,19.4477
4,3,zone_2,glucose,r1032,-9.09058,4.11793e-12,4.998
4,3,zone_2,oxygen,r0855,-19.7298,-3.74346e-12,36.5046
4,3,zone_2,glucose,r1032,-9.09058,4.11793e-12,4.998
4,3,zone_2,oxygen,r0855,-19.7298,-3.74346e-12,36.5046
4,7,zone_3,glucose,r1032,-9.09058,4.11793e-12,4.998
4,7,zone_3,oxygen,r0855,-19.4852,-3.74346e-12,18.9262
4,7,zone_3,glucose,r1032,-9.09058,4.11793e-12,4.998
4,7,zone_3,oxygen,r0855,-19.4852,-3.74346e-12,18.9262
6,8,zone_3,glucose,r1032,-9.09041,4.11793e-12,4.997
6,8,zone_3,oxygen,r0855,-19.5241,-3.74346e-12,20.5111
6,8,zone_3,glucose,r1032,-9.09041,4.11793e-12,4.997
6,8,zone_3,oxygen,r0855,-19.5241,-3.74346e-12,20.5111
6,0,zone_1,glucose,r1032,-9.09041,4.11793e-12,4.997
6,0,zone_1,oxygen,r0855,-19.7778,-3.74346e-12,44.4968
6,0,zone_1,glucose,r1032,-9.09041,4.11793e-12,4.997
6,0,zone_1,oxygen,r0855,-19.7778,-3.74346e-12,44.4968
6,4,zone_2,glucose,r1032,-9.09041,4.11793e-12,4.997
6,4,zone_2,oxygen,r0855,-19.7295,-3.74346e-12,36.4721
6,4,zone_2,glucose,r1032,-9.09041,4.11793e-12,4.997
6,4,zone_2,oxygen,r0855,-19.7295,-3.74346e-12,36.4721
6,1,zone_1,glucose,r1032,-9.09041,4.11793e-12,4.997
6,1,zone_1,oxygen,r0855,-19.7778,-3.74346e-12,44.4968
6,1,zone_1,glucose,r1032,-9.09041,4.11793e-12,4.997
6,1,zone_1,oxygen,r0855,-19.7778,-3.74346e-12,44.4968
6,5,zone_2,glucose,r1032,-9.09041,4.11793e-12,4.997
6,5,zone_2,oxygen,r0855,-19.7268,-3.74346e-12,36.104
6,5,zone_2,glucose,r1032,-9.09041,4.11793e-12,4.997
6,5,zone_2,oxygen,r0855,-19.7268,-3.74346e-12,36.104
6,2,zone_1,glucose,r1032,-9.09041,4.11793e-12,4.997
6,2,zone_1,oxygen,r0855,-19.7759,-3.74346e-12,44.1164
6,2,zone_1,glucose,r1032,-9.09041,4.11793e-12,4.997
6,2,zone_1,oxygen,r0855,-19.7759,-3.74346e-12,44.1164
6,6,zone_3,glucose,r1032,-9.09041,4.11793e-12,4.997
6,6,zone_3,oxygen,r0855,-19.5398,-3.74346e-12,21.2306
6,6,zone_3,glucose,r1032,-9.09041,4.11793e-12,4.997
6,6,zone_3,oxygen,r0855,-19.5398,-3.74346e-12,21.2306
6,3,zone_2,glucose,r1032,-9.09041,4.11793e-12,4.997
6,3,zone_2,oxygen,r0855,-19.733,-3.74346e-12,36.9562
6,3,zone_2,glucose,r1032,-9.09041,4.11793e-12,4.997
6,3,zone_2,oxygen,r0855,-19.733,-3.74346e-12,36.9562
6,7,zone_3,glucose,r1032,-9.09041,4.11793e-12,4.997
6,7,zone_3,oxygen,r0855,-19.5297,-3.74346e-12,20.7627
6,7,zone_3,glucose,r1032,-9.09041,4.11793e-12,4.997
6,7,zone_3,oxygen,r0855,-19.5297,-3.74346e-12,20.7627
8,0,zone_1,glucose,r1032,-9.09025,4.11793e-12,4.996
8,0,zone_1,oxygen,r0855,-19.7758,-3.74346e-12,44.0948
8,0,zone_1,glucose,r1032,-9.09025,4.11793e-12,4.996
8,0,zone_1,oxygen,r0855,-19.7758,-3.74346e-12,44.0948
8,4,zone_2,glucose,r1032,-9.09025,4.11793e-12,4.996
8,4,zone_2,oxygen,r0855,-19.7324,-3.74346e-12,36.8639
8,8,zone_3,glucose,r1032,-9.09025,4.11793e-12,4.996
8,8,zone_3,oxygen,r0855,-19.5583,-3.74346e-12,22.1375
8,4,zone_2,glucose,r1032,-9.09025,4.11793e-12,4.996
8,4,zone_2,oxygen,r0855,-19.7324,-3.74346e-12,36.8639
8,8,zone_3,glucose,r1032,-9.09025,4.11793e-12,4.996
8,8,zone_3,oxygen,r0855,-19.5583,-3.74346e-12,22.1375
8,1,zone_1,glucose,r1032,-9.09025,4.11793e-12,4.996
8,1,zone_1,oxygen,r0855,-19.7758,-3.74346e-12,44.0948
8,1,zone_1,glucose,r1032,-9.09025,4.11793e-12,4.996
8,1,zone_1,oxygen,r0855,-19.7758,-3.74346e-12,44.0948
8,5,zone_2,glucose,r1032,-9.09025,4.11793e-12,4.996
8,5,zone_2,oxygen,r0855,-19.7298,-3.74346e-12,36.5098
8,5,zone_2,glucose,r1032,-9.09025,4.11793e-12,4.996
8,5,zone_2,oxygen,r0855,-19.7298,-3.74346e-12,36.5098
8,2,zone_1,glucose,r1032,-9.09025,4.11793e-12,4.996
8,2,zone_1,oxygen,r0855,-19.7739,-3.74346e-12,43.7214
8,2,zone_1,glucose,r1032,-9.09025,4.11793e-12,4.996
8,2,zone_1,oxygen,r0855,-19.7739,-3.74346e-12,43.7214
8,6,zone_3,glucose,r1032,-9.09025,4.11793e-12,4.996
8,6,zone_3,oxygen,r0855,-19.571,-3.74346e-12,22.8095
8,6,zone_3,glucose,r1032,-9.09025,4.11793e-12,4.996
8,6,zone_3,oxygen,r0855,-19.571,-3.74346e-12,22.8095
8,3,zone_2,glucose,r1032,-9.09025,4.11793e-12,4.996
8,3,zone_2,oxygen,r0855,-19.7357,-3.74346e-12,37.3298
8,3,zone_2,glucose,r1032,-9.09025,4.11793e-12,4.996
8,3,zone_2,oxygen,r0855,-19.7357,-3.74346e-12,37.3298
8,7,zone_3,glucose,r1032,-9.09025,4.11793e-12,4.996
8,7,zone_3,oxygen,r0855,-19.5628,-3.74346e-12,22.3748
8,7,zone_3,glucose,r1032,-9.09025,4.11793e-12,4.996
8,7,zone_3,oxygen,r0855,-19.5628,-3.74346e-12,22.3748
10,4,zone_2,glucose,r1032,-9.09008,4.11793e-12,4.995
10,4,zone_2,oxygen,r0855,-19.7348,-3.74346e-12,37.2007
10,4,zone_2,glucose,r1032,-9.09008,4.11793e-12,4.995
10,4,zone_2,oxygen,r0855,-19.7348,-3.74346e-12,37.2007
10,0,zone_1,glucose,r1032,-9.09008,4.11793e-12,4.995
10,0,zone_1,oxygen,r0855,-19.7739,-3.74346e-12,43.7332
10,0,zone_1,glucose,r1032,-9.09008,4.11793e-12,4.995
10,0,zone_1,oxygen,r0855,-19.7739,-3.74346e-12,43.7332
10,8,zone_3,glucose,r1032,-9.09008,4.11793e-12,4.995
10,8,zone_3,oxygen,r0855,-19.5848,-3.74346e-12,23.5838
10,8,zone_3,glucose,r1032,-9.09008,4.11793e-12,4.995
10,8,zone_3,oxygen,r0855,-19.5848,-3.74346e-12,23.5838
