x,y,z,type,volume
-51.2137,-4.55442,-83.2907,default,8.5
-37.5888,-33.2832,-84.4271,default,9.8791
-37.6541,-13.6737,-86.5638,default,8.5
-38.7093,0.223641,-85.6339,default,8.93259
-35.4237,20.7316,-84.4495,default,10.0373
-21.6863,-40.8023,-87.282,default,9.31441
-20.457,-22.107,-86.0417,default,8.72424
-21.191,-8.58699,-84.1779,default,8.68751
-20.1745,10.7166,-86.0735,default,8.9461
-22.5775,28.6424,-83.8703,default,9.1147
-9.02799,-49.3179,-83.452,default,10.3831
-6.88653,-30.1996,-87.0069,default,9.25676
-6.70109,-17.1687,-86.3095,default,8.92614
-6.68777,0.159854,-85.1603,default,10.1914
-7.77875,19.9209,-83.5472,default,10.1998
-7.84761,38.2974,-83.531,default,9.71243
7.60351,-40.894,-85.683,default,10.0896
5.94894,-24.3406,-83.397,default,10.0954
8.5685,-6.01829,-85.6375,default,8.76963
6.47517,10.8833,-86.7981,default,8.73724
7.74972,27.7539,-87.4803,default,8.84193
8.76834,45.41,-83.1479,default,10.2972
19.9542,-48.817,-84.3397,default,9.44966
23.8245,-34.3121,-86.4994,default,10.0918
20.599,-15.664,-85.0455,default,8.5
22.5894,3.45774,-86.9589,default,8.58914
23.975,20.4049,-84.5403,default,8.88816
23.4088,37.8392,-84.8241,default,9.8457
35.923,-39.8056,-83.6807,default,9.99562
35.2746,-26.0117,-86.1669,default,8.5
37.2275,-5.58403,-85.3156,default,10.2046
36.2089,11.1301,-83.5743,default,10.2277
37.3746,26.7552,-83.8608,default,10.0868
-70.5057,-14.7296,-69.1699,default,9.3986
-57.77,-39.1177,-71.2849,default,9.97762
-56.5964,-25.7059,-72.4555,default,9.30194
-54.3462,-8.93067,-70.9266,default,8.5
-56.197,10.0026,-69.7403,default,10.3383
-57.7468,28.4292,-71.3538,default,8.5
-54.5719,46.9411,-68.3717,default,9.52835
-41.4945,-51.2596,-72.7088,default,9.08313
-41.2889,-29.884,-71.187,default,9.44447
-42.3187,-17.0337,-69.4272,default,10.4347
-39.3438,1.83237,-68.9845,default,8.5
-42.2973,16.7614,-68.753,default,8.5
-42.564,34.2374,-69.8245,default,9.48534
-41.2197,53.3538,-68.963,default,8.5
-26.3138,-57.0233,-70.1267,default,8.69547
-28.3779,-42.914,-68.3804,default,10.4235
-26.1849,-24.6927,-70.2968,default,8.78999
-24.2139,-8.96024,-72.3287,default,8.5
-26.7609,11.1367,-69.3157,default,9.33999
-25.9136,26.784,-69.0695,default,10.0291
-27.5315,43.6636,-70.7154,default,9.33376
-27.1511,62.3571,-69.6168,default,9.79464
-13.7277,-63.7381,-68.929,default,9.87774
