x,y,z,cell_type,volume
0.0,-150.0,-20.0,MCF7_core,2494.0
0.0,-150.0,-5.0,MCF7_core,2494.0
0.0,-150.0,10.0,MCF7_core,2494.0
0.0,-135.0,-20.0,MCF7_core,2494.0
0.0,-135.0,-5.0,MCF7_core,2494.0
0.0,-135.0,10.0,MCF7_core,2494.0
0.0,-120.0,-20.0,MCF7_core,2494.0
0.0,-120.0,-5.0,MCF7_core,2494.0
0.0,-120.0,10.0,MCF7_core,2494.0
0.0,-105.0,-20.0,MCF7_core,2494.0
0.0,-105.0,-5.0,MCF7_core,2494.0
0.0,-105.0,10.0,MCF7_core,2494.0
0.0,-90.0,-20.0,MCF7_core,2494.0
0.0,-90.0,-5.0,MCF7_core,2494.0
0.0,-90.0,10.0,MCF7_core,2494.0
0.0,-75.0,-20.0,MCF7_core,2494.0
0.0,-75.0,-5.0,MCF7_core,2494.0
0.0,-75.0,10.0,MCF7_core,2494.0
0.0,-60.0,-20.0,MCF7_core,2494.0
0.0,-60.0,-5.0,MCF7_core,2494.0
0.0,-60.0,10.0,MCF7_core,2494.0
0.0,-45.0,-20.0,MCF7_core,2494.0
0.0,-45.0,-5.0,MCF7_core,2494.0
0.0,-45.0,10.0,MCF7_core,2494.0
0.0,-30.0,-20.0,MCF7_core,2494.0
0.0,-30.0,-5.0,MCF7_core,2494.0
0.0,-30.0,10.0,MCF7_core,2494.0
0.0,-15.0,-20.0,MCF7_core,2494.0
0.0,-15.0,-5.0,MCF7_core,2494.0
0.0,-15.0,10.0,MCF7_core,2494.0
0.0,0.0,-20.0,MCF7_core,2494.0
0.0,0.0,-5.0,MCF7_core,2494.0
0.0,0.0,10.0,MCF7_core,2494.0
0.0,15.0,-20.0,MCF7_core,2494.0
0.0,15.0,-5.0,MCF7_core,2494.0
0.0,15.0,10.0,MCF7_core,2494.0
0.0,30.0,-20.0,MCF7_core,2494.0
0.0,30.0,-5.0,MCF7_core,2494.0
0.0,30.0,10.0,MCF7_core,2494.0
0.0,45.0,-20.0,MCF7_core,2494.0
0.0,45.0,-5.0,MCF7_core,2494.0
0.0,45.0,10.0,MCF7_core,2494.0
0.0,60.0,-20.0,MCF7_core,2494.0
0.0,60.0,-5.0,MCF7_core,2494.0
0.0,60.0,10.0,MCF7_core,2494.0
0.0,75.0,-20.0,MCF7_core,2494.0
0.0,75.0,-5.0,MCF7_core,2494.0
0.0,75.0,10.0,MCF7_core,2494.0
0.0,90.0,-20.0,MCF7_core,2494.0
0.0,90.0,-5.0,MCF7_core,2494.0
0.0,90.0,10.0,MCF7_core,2494.0
0.0,105.0,-20.0,MCF7_core,2494.0
0.0,105.0,-5.0,MCF7_core,2494.0
0.0,105.0,10.0,MCF7_core,2494.0
0.0,120.0,-20.0,MCF7_core,2494.0
0.0,120.0,-5.0,MCF7_core,2494.0
0.0,120.0,10.0,MCF7_core,2494.0
0.0,135.0,-20.0,MCF7_core,2494.0
0.0,135.0,-5.0,MCF7_core,2494.0
0.0,135.0,10.0,MCF7_core,2494.0
0.0,150.0,-20.0,MCF7_core,2494.0
0.0,150.0,-5.0,MCF7_core,2494.0
0.0,150.0,10.0,MCF7_core,2494.0
15.0,-150.0,-20.0,MCF7_core,2494.0
15.0,-150.0,-5.0,MCF7_core,2494.0
15.0,-150.0,10.0,MCF7_core,2494.0
15.0,-135.0,-20.0,MCF7_core,2494.0
15.0,-135.0,-5.0,MCF7_core,2494.0
15.0,-135.0,10.0,MCF7_core,2494.0
15.0,-120.0,-20.0,MCF7_core,2494.0
15.0,-120.0,-5.0,MCF7_core,2494.0
15.0,-120.0,10.0,MCF7_core,2494.0
15.0,-105.0,-20.0,MCF7_core,2494.0
15.0,-105.0,-5.0,MCF7_core,2494.0
15.0,-105.0,10.0,MCF7_core,2494.0
15.0,-90.0,-20.0,MCF7_core,2494.0
15.0,-90.0,-5.0,MCF7_core,2494.0
15.0,-90.0,10.0,MCF7_core,2494.0
15.0,-75.0,-20.0,MCF7_core,2494.0
15.0,-75.0,-5.0,MCF7_core,2494.0
15.0,-75.0,10.0,MCF7_core,2494.0
15.0,-60.0,-20.0,MCF7_core,2494.0
15.0,-60.0,-5.0,MCF7_core,2494.0
15.0,-60.0,10.0,MCF7_core,2494.0
15.0,-45.0,-20.0,MCF7_core,2494.0
15.0,-45.0,-5.0,MCF7_core,2494.0
15.0,-45.0,10.0,MCF7_core,2494.0
15.0,-30.0,-20.0,MCF7_core,2494.0
15.0,-30.0,-5.0,MCF7_core,2494.0
15.0,-30.0,10.0,MCF7_core,2494.0
15.0,-15.0,-20.0,MCF7_core,2494.0
15.0,-15.0,-5.0,MCF7_core,2494.0
15.0,-15.0,10.0,MCF7_core,2494.0
15.0,0.0,-20.0,MCF7_core,2494.0
15.0,0.0,-5.0,MCF7_core,2494.0
15.0,0.0,10.0,MCF7_core,2494.0
15.0,15.0,-20.0,MCF7_core,2494.0
15.0,15.0,-5.0,MCF7_core,2494.0
15.0,15.0,10.0,MCF7_core,2494.0
15.0,30.0,-20.0,MCF7_core,2494.0
15.0,30.0,-5.0,MCF7_core,2494.0
15.0,30.0,10.0,MCF7_core,2494.0
15.0,45.0,-20.0,MCF7_core,2494.0
15.0,45.0,-5.0,MCF7_core,2494.0
15.0,45.0,10.0,MCF7_core,2494.0
15.0,60.0,-20.0,MCF7_core,2494.0
15.0,60.0,-5.0,MCF7_core,2494.0
